Ticker,Sector,Industry,Long Name,Market Cap
NOW,Technology,Software - Application,"ServiceNow, Inc.",159838666752.0
UBER,Technology,Software - Application,"Uber Technologies, Inc.",157346398208.0
QCOM,Technology,Semiconductors,QUALCOMM Incorporated,151140433920.0
ADBE,Technology,Software - Application,Adobe Inc.,148658552832.0
AMD,Technology,Semiconductors,"Advanced Micro Devices, Inc.",142057652224.0
TXN,Technology,Semiconductors,Texas Instruments Incorporated,135086432256.0
ADP,Technology,Software - Application,"Automatic Data Processing, Inc.",119327129600.0
FI,Technology,Information Technology Services,"Fiserv, Inc.",116552056832.0
AMAT,Technology,Semiconductor Equipment & Materials,"Applied Materials, Inc.",111678152704.0
PANW,Technology,Software - Infrastructure,"Palo Alto Networks, Inc.",111027544064.0
CRWD,Technology,Software - Infrastructure,"CrowdStrike Holdings, Inc.",93106053120.0
ANET,Technology,Computer Hardware,Arista Networks Inc,89400852480.0
ADI,Technology,Semiconductors,"Analog Devices, Inc.",87425687552.0
KLAC,Technology,Semiconductor Equipment & Materials,KLA Corporation,84307501056.0
INTC,Technology,Semiconductors,Intel Corporation,82545967104.0
LRCX,Technology,Semiconductor Equipment & Materials,Lam Research Corporation,81846165504.0
APH,Technology,Electronic Components,Amphenol Corporation,78838398976.0
MU,Technology,Semiconductors,"Micron Technology, Inc.",76888825856.0
FTNT,Technology,Software - Infrastructure,"Fortinet, Inc.",73921470464.0
CDNS,Technology,Software - Application,"Cadence Design Systems, Inc.",71381983232.0
MSI,Technology,Communication Equipment,"Motorola Solutions, Inc.",70283501568.0
SNPS,Technology,Software - Infrastructure,"Synopsys, Inc.",63907540992.0
ROP,Technology,Software - Application,"Roper Technologies, Inc.",59839217664.0
DELL,Technology,Computer Hardware,Dell Technologies Inc.,59176919040.0
WDAY,Technology,Software - Application,"Workday, Inc.",58791321600.0
ADSK,Technology,Software - Application,"Autodesk, Inc.",55267110912.0
PAYX,Technology,Software - Application,"Paychex, Inc.",52191674368.0
FICO,Technology,Software - Application,Fair Isaac Corporation,46653726720.0
NXPI,Technology,Semiconductors,NXP Semiconductors N.V.,43303079936.0
FIS,Technology,Information Technology Services,"Fidelity National Information Services, Inc.",39504429056.0
TEL,Technology,Electronic Components,TE Connectivity plc,38559141888.0
GRMN,Technology,Scientific & Technical Instruments,Garmin Ltd.,36674125824.0
GLW,Technology,Electronic Components,Corning Incorporated,35573383168.0
CTSH,Technology,Information Technology Services,Cognizant Technology Solutions Corporation,34346135552.0
IT,Technology,Information Technology Services,"Gartner, Inc.",30950828032.0
BR,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc.",27598931968.0
ANSS,Technology,Software - Application,"ANSYS, Inc.",26535704576.0
MPWR,Technology,Semiconductors,"Monolithic Power Systems, Inc.",25061681152.0
TYL,Technology,Software - Application,"Tyler Technologies, Inc.",24579383296.0
GDDY,Technology,Software - Infrastructure,GoDaddy Inc.,24282134528.0
KEYS,Technology,Scientific & Technical Instruments,"Keysight Technologies, Inc.",23408979968.0
VRSN,Technology,Software - Infrastructure,"VeriSign, Inc.",23218503680.0
HPQ,Technology,Computer Hardware,HP Inc.,22464612352.0
FTV,Technology,Scientific & Technical Instruments,Fortive Corporation,22268577792.0
CPAY,Technology,Software - Infrastructure,"Corpay, Inc.",21688254464.0
TDY,Technology,Scientific & Technical Instruments,Teledyne Technologies Incorporated,21647917056.0
MCHP,Technology,Semiconductors,Microchip Technology Incorporated,20735612928.0
CDW,Technology,Information Technology Services,CDW Corporation,19958747136.0
HPE,Technology,Communication Equipment,Hewlett Packard Enterprise Company,19887601664.0
SMCI,Technology,Computer Hardware,"Super Micro Computer, Inc.",18697619456.0
LDOS,Technology,Information Technology Services,"Leidos Holdings, Inc.",17875595264.0
PTC,Technology,Software - Application,PTC Inc.,17273712640.0
NTAP,Technology,Computer Hardware,"NetApp, Inc.",17048803328.0
STX,Technology,Computer Hardware,Seagate Technology Holdings plc,16043156480.0
GEN,Technology,Software - Infrastructure,Gen Digital Inc.,15059314688.0
FFIV,Technology,Software - Infrastructure,"F5, Inc.",14909460480.0
ON,Technology,Semiconductors,ON Semiconductor Corporation,14619777024.0
JBL,Technology,Electronic Components,Jabil Inc.,14495867904.0
TRMB,Technology,Scientific & Technical Instruments,Trimble Inc.,14312468480.0
FSLR,Technology,Solar,"First Solar, Inc.",13724575744.0
WDC,Technology,Computer Hardware,Western Digital Corporation,12699054080.0
JKHY,Technology,Information Technology Services,"Jack Henry & Associates, Inc.",12526011392.0
PAYC,Technology,Software - Application,"Paycom Software, Inc.",12271444992.0
ZBRA,Technology,Communication Equipment,Zebra Technologies Corporation,11595719680.0
JNPR,Technology,Communication Equipment,"Juniper Networks, Inc.",11475729408.0
TER,Technology,Semiconductor Equipment & Materials,"Teradyne, Inc.",11462566912.0
AKAM,Technology,Software - Infrastructure,"Akamai Technologies, Inc.",10733607936.0
SWKS,Technology,Semiconductors,"Skyworks Solutions, Inc.",8597129216.0
DAY,Technology,Software - Application,Dayforce Inc,8569887744.0
EPAM,Technology,Information Technology Services,"EPAM Systems, Inc.",8333082112.0
ENPH,Technology,Solar,"Enphase Energy, Inc.",6892512768.0
NEE,Utilities,Utilities - Regulated Electric,"NextEra Energy, Inc.",136504434688.0
SO,Utilities,Utilities - Regulated Electric,The Southern Company,101008433152.0
DUK,Utilities,Utilities - Regulated Electric,Duke Energy Corporation,94641283072.0
GEV,Utilities,Utilities - Renewable,GE Vernova Inc.,88441085952.0
CEG,Utilities,Utilities - Renewable,Constellation Energy Corporation,64754913280.0
AEP,Utilities,Utilities - Regulated Electric,"American Electric Power Company, Inc.",57515847680.0
EXC,Utilities,Utilities - Regulated Electric,Exelon Corporation,47710855168.0
SRE,Utilities,Utilities - Diversified,Sempra,46364057600.0
D,Utilities,Utilities - Regulated Electric,"Dominion Energy, Inc.",45312270336.0
PEG,Utilities,Utilities - Regulated Electric,Public Service Enterprise Group Incorporated,41560043520.0
XEL,Utilities,Utilities - Regulated Electric,Xcel Energy Inc.,40395649024.0
ED,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc.",40378421248.0
VST,Utilities,Utilities - Independent Power Producers,Vistra Corp.,39260917760.0
PCG,Utilities,Utilities - Regulated Electric,PG&E Corporation,37866029056.0
ETR,Utilities,Utilities - Regulated Electric,Entergy Corporation,35870384128.0
WEC,Utilities,Utilities - Regulated Electric,"WEC Energy Group, Inc.",34586054656.0
AWK,Utilities,Utilities - Regulated Water,"American Water Works Company, Inc.",28939632640.0
DTE,Utilities,Utilities - Regulated Electric,DTE Energy Company,27714029568.0
AEE,Utilities,Utilities - Regulated Electric,Ameren Corporation,26651088896.0
PPL,Utilities,Utilities - Regulated Electric,PPL Corporation,26398939136.0
ATO,Utilities,Utilities - Regulated Gas,Atmos Energy Corporation,25006008320.0
CNP,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc.",24255334400.0
FE,Utilities,Utilities - Regulated Electric,FirstEnergy Corp.,24250834944.0
EIX,Utilities,Utilities - Regulated Electric,Edison International,22096527360.0
CMS,Utilities,Utilities - Regulated Electric,CMS Energy Corporation,21808476160.0
ES,Utilities,Utilities - Regulated Electric,Eversource Energy,21085188096.0
NRG,Utilities,Utilities - Independent Power Producers,"NRG Energy, Inc.",19930853376.0
NI,Utilities,Utilities - Regulated Gas,NiSource Inc.,18490071040.0
EVRG,Utilities,Utilities - Regulated Electric,"Evergy, Inc.",15725988864.0
LNT,Utilities,Utilities - Regulated Electric,Alliant Energy Corporation,15617878016.0
PNW,Utilities,Utilities - Regulated Electric,Pinnacle West Capital Corporation,11259856896.0
AES,Utilities,Utilities - Diversified,The AES Corporation,7247223296.0
